resume_id,address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,resume_text
50,,"Committed and motivated professional with exceptional customer service and decision making skills. Extensive experience working with a diverse client base and delivering results. High-achieving professional possessing excellent communication, organizational and analytical capabilities. Background in business development, customer service and project management.","['Problem resolution', 'Results-oriented', 'Meticulous attention to detail', 'Managing multiple priorities', 'Active Learning', 'Client Relations', 'Computer Proficiency', 'Creative Problem Solving', 'Critical Thinking', 'Data Collection', 'Data Entry', 'Documentation', 'Email', 'Executive Management Support', 'Filing', 'Internet Research', 'Letters and Memos', 'Minute Taking', 'Multi-Task Management', 'Organizational Skills', 'Research', 'Scheduling', 'Service Orientation', 'Speaking', 'Spreadsheets', 'Travel Arrangements']","['Denver High School', 'Front Range Community College']","['High School Diploma', None]","['1996', None]","[None, None]","[None, None]","[None, 'General Studies']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['February 2015', 'November 2014', 'November 2012', 'April 2012', 'April 2011', 'September 2006']","['September 2015', 'February 2015', 'January 2014', 'November 2012', 'December 2011', 'December 2011']","[None, None, None, ['Microsoft Office proficiency', 'Customer relations specialist', 'Employee training and development'], None, None]","['Business Development', 'Service Manager', 'System Technology Specialist', 'Project Manager', 'Support Manager', 'Project Administrator']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']",,,,,,,,,,,,"nan Committed and motivated professional with exceptional customer service and decision making skills. Extensive experience working with a diverse client base and delivering results. High-achieving professional possessing excellent communication, organizational and analytical capabilities. Background in business development, customer service and project management. ['Problem resolution', 'Results-oriented', 'Meticulous attention to detail', 'Managing multiple priorities', 'Active Learning', 'Client Relations', 'Computer Proficiency', 'Creative Problem Solving', 'Critical Thinking', 'Data Collection', 'Data Entry', 'Documentation', 'Email', 'Executive Management Support', 'Filing', 'Internet Research', 'Letters and Memos', 'Minute Taking', 'Multi-Task Management', 'Organizational Skills', 'Research', 'Scheduling', 'Service Orientation', 'Speaking', 'Spreadsheets', 'Travel Arrangements'] ['Denver High School', 'Front Range Community College'] ['High School Diploma', None] ['1996', None] [None, None] [None, None] [None, 'General Studies'] ['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name'] [None, None, None, None, None, None] ['February 2015', 'November 2014', 'November 2012', 'April 2012', 'April 2011', 'September 2006'] ['September 2015', 'February 2015', 'January 2014', 'November 2012', 'December 2011', 'December 2011'] [None, None, None, ['Microsoft Office proficiency', 'Customer relations specialist', 'Employee training and development'], None, None] ['Business Development', 'Service Manager', 'System Technology Specialist', 'Project Manager', 'Support Manager', 'Project Administrator'] ['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State'] nan nan nan nan nan nan nan nan nan nan nan"
51,"Cambridge, MA","Dedicated computer science student with a strong command of Python and proficiency in Visual Studio Code, seeking a role as an entry-level software developer at Amazon. Eager to bring my ability to develop, test, and maintain software to a dynamic team that values innovation.","['Python', 'Visual Studio Code', 'Mercurial']",['Harvard University'],['B.S.'],['current'],[None],[None],['Computer Science'],"['FortresMs', 'TravelBuddy']","[None, None]","['November 2022', 'January 2021']","['current', 'January 2022']","[['Python', 'Visual Studio Code'], ['Python']]","['Mobile App Developer', 'Front-End Developer']","[None, None]",,,,,,,,,,,,"Cambridge, MA Dedicated computer science student with a strong command of Python and proficiency in Visual Studio Code, seeking a role as an entry-level software developer at Amazon. Eager to bring my ability to develop, test, and maintain software to a dynamic team that values innovation. ['Python', 'Visual Studio Code', 'Mercurial'] ['Harvard University'] ['B.S.'] ['current'] [None] [None] ['Computer Science'] ['FortresMs', 'TravelBuddy'] [None, None] ['November 2022', 'January 2021'] ['current', 'January 2022'] [['Python', 'Visual Studio Code'], ['Python']] ['Mobile App Developer', 'Front-End Developer'] [None, None] nan nan nan nan nan nan nan nan nan nan nan"
52,"Greer, SC",,"['Computer System Building and Repair', 'Hardware and Software Installation', 'Diagnostic Software Utilities', 'Remote Access', 'Networking', 'Computer Management', 'CNNs', 'LSTMs', 'PyTorch']",['Bob Jones University'],['B.S.'],['2018'],['3.8'],['GPA'],['Computer Science'],"['Collins Aerospace', 'Aeronix Inc.', 'Netalytics']","['N/A', 'N/A', 'N/A']","['December 2020', 'November 2019', 'June 2018']","['current', 'December 2020', 'November 2019']","[['System and Network Procurement', 'Installation', 'Administration', 'Security', 'Troubleshooting', 'Machine Learning'], ['Deep Learning', 'Computer Vision', 'Algorithm Design', 'Machine Learning Models', 'Data Quality Evaluation'], ['Problem Analysis', 'Troubleshooting', 'System Tracking', 'Communication', 'Inventory Management']]","['Computer Scientist', 'Machine Learning Scientist', 'Entry-Level Computer Support Specialist']","['Remote', 'Greenville, SC', 'Greer, SC']",,,,,,,,,,,,"Greer, SC nan ['Computer System Building and Repair', 'Hardware and Software Installation', 'Diagnostic Software Utilities', 'Remote Access', 'Networking', 'Computer Management', 'CNNs', 'LSTMs', 'PyTorch'] ['Bob Jones University'] ['B.S.'] ['2018'] ['3.8'] ['GPA'] ['Computer Science'] ['Collins Aerospace', 'Aeronix Inc.', 'Netalytics'] ['N/A', 'N/A', 'N/A'] ['December 2020', 'November 2019', 'June 2018'] ['current', 'December 2020', 'November 2019'] [['System and Network Procurement', 'Installation', 'Administration', 'Security', 'Troubleshooting', 'Machine Learning'], ['Deep Learning', 'Computer Vision', 'Algorithm Design', 'Machine Learning Models', 'Data Quality Evaluation'], ['Problem Analysis', 'Troubleshooting', 'System Tracking', 'Communication', 'Inventory Management']] ['Computer Scientist', 'Machine Learning Scientist', 'Entry-Level Computer Support Specialist'] ['Remote', 'Greenville, SC', 'Greer, SC'] nan nan nan nan nan nan nan nan nan nan nan"
53,,I would like to introduce myself as an applicant for the data scientist role. I have gathered an well informed amount of experience from my coursework and I feel that I can perform and produce results in an work environment if given the opportunity.,"['Data Science', 'Analysis', 'Machine Learning', 'Bounding Algorithms', 'Heuristics', 'ANN', 'Decision Trees', 'SVM', 'Hypothesis Analysis', 'Optimization']","['St Josephs College of Arts and Science Bengaluru', 'St Josephs College of Arts and Science Bengaluru']","['B.Sc (Computer Science Engineering)', 'M.Sc (Data Science)']","['2019', '2021']","['N/A', 'N/A']","['N/A', 'N/A']","['Computer Science Engineering', 'Data Science']",['Crison Global Service'],['N/A'],['Jan 2021'],['Till Date'],"[['Analysis', 'Model Designing']]",['Intern'],['N/A'],['Workshop'],['N/A'],['N/A'],['Participant'],,,,,,,,"nan I would like to introduce myself as an applicant for the data scientist role. I have gathered an well informed amount of experience from my coursework and I feel that I can perform and produce results in an work environment if given the opportunity. ['Data Science', 'Analysis', 'Machine Learning', 'Bounding Algorithms', 'Heuristics', 'ANN', 'Decision Trees', 'SVM', 'Hypothesis Analysis', 'Optimization'] ['St Josephs College of Arts and Science Bengaluru', 'St Josephs College of Arts and Science Bengaluru'] ['B.Sc (Computer Science Engineering)', 'M.Sc (Data Science)'] ['2019', '2021'] ['N/A', 'N/A'] ['N/A', 'N/A'] ['Computer Science Engineering', 'Data Science'] ['Crison Global Service'] ['N/A'] ['Jan 2021'] ['Till Date'] [['Analysis', 'Model Designing']] ['Intern'] ['N/A'] ['Workshop'] ['N/A'] ['N/A'] ['Participant'] nan nan nan nan nan nan nan"
54,,,"['Data Analysis', 'Machine Learning', 'Data Science', 'Statistical Analysis', 'Time Series Analysis', 'Statistical Modelling', 'Data Manipulation', 'Python', 'R', 'Tableau', 'SQL', 'Django', 'PostgreSQL']",['Nagpur University'],['B.Tech'],['2019'],[None],[None],['Electronics Engineering'],['AMZ Loans and Mortgages'],[None],['Oct 2019'],[None],"[['Data Analysis', 'Pipelines', 'Automation']]",['Analyst'],[None],['Certification'],[None],[None],['Data scientist & python developer Certification. Advanced Data Analytics with Python and R'],,,,,,,,"nan nan ['Data Analysis', 'Machine Learning', 'Data Science', 'Statistical Analysis', 'Time Series Analysis', 'Statistical Modelling', 'Data Manipulation', 'Python', 'R', 'Tableau', 'SQL', 'Django', 'PostgreSQL'] ['Nagpur University'] ['B.Tech'] ['2019'] [None] [None] ['Electronics Engineering'] ['AMZ Loans and Mortgages'] [None] ['Oct 2019'] [None] [['Data Analysis', 'Pipelines', 'Automation']] ['Analyst'] [None] ['Certification'] [None] [None] ['Data scientist & python developer Certification. Advanced Data Analytics with Python and R'] nan nan nan nan nan nan nan"
55,,,"['assisted living', 'interpersonal and communication', 'insurance', 'internal medicine', 'managing', 'marketing', 'marketing/sales', 'meetings', 'mentor', 'office', 'networking', 'organizing', 'orthopedics', 'outside sales', 'physical therapy', 'rehabilitation', 'sales', 'seminars', 'Team player', 'time management']",['ARIZONA STATE UNIVERSITY'],['B.A'],['N/A'],['Cum Laude'],['N/A'],['Organizational Communication Business Management'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['May 2011', 'January 2007', 'March 2003', 'January 1999']","['November 2014', 'May 2011', 'January 2007', 'January 2001']","[['building referral relationships', 'management', 'networking', 'customer needs', 'organizing seminars'], ['same store growth', 'relationship building', 'market analysis', 'representation', 'mentoring'], ['growth management', 'relationship building', 'leadership', 'recognition'], ['promotion', 'networking', 'customer facilitation', 'census maintenance']]","['Business Development Manager', 'Marketing/Outside Physician Rep', 'Marketing Director', 'Resident Liaison']","['City , State', 'City , State', 'City , State', 'City , State']",,,,,,,,,,,,"nan nan ['assisted living', 'interpersonal and communication', 'insurance', 'internal medicine', 'managing', 'marketing', 'marketing/sales', 'meetings', 'mentor', 'office', 'networking', 'organizing', 'orthopedics', 'outside sales', 'physical therapy', 'rehabilitation', 'sales', 'seminars', 'Team player', 'time management'] ['ARIZONA STATE UNIVERSITY'] ['B.A'] ['N/A'] ['Cum Laude'] ['N/A'] ['Organizational Communication Business Management'] ['Company Name', 'Company Name', 'Company Name', 'Company Name'] [None, None, None, None] ['May 2011', 'January 2007', 'March 2003', 'January 1999'] ['November 2014', 'May 2011', 'January 2007', 'January 2001'] [['building referral relationships', 'management', 'networking', 'customer needs', 'organizing seminars'], ['same store growth', 'relationship building', 'market analysis', 'representation', 'mentoring'], ['growth management', 'relationship building', 'leadership', 'recognition'], ['promotion', 'networking', 'customer facilitation', 'census maintenance']] ['Business Development Manager', 'Marketing/Outside Physician Rep', 'Marketing Director', 'Resident Liaison'] ['City , State', 'City , State', 'City , State', 'City , State'] nan nan nan nan nan nan nan nan nan nan nan"
56,,I am currently looking for an opportunity as a Data Science or Machine Learning Engineer.,"['Business analyst', 'Data modeling', 'Business intelligence', 'ERP implementation', 'html', 'Requirement Gathering', 'Power Bi', 'Project Management']","['SP University', 'SP University']","['BBA', 'MBA']","['2018', '2020']","[None, None]","[None, None]","['Management', 'Information Technology']",['JVV IT Solutions'],[None],['Feb 2020'],['till date'],[[]],['Business Analyst'],[None],,,,,,,,,,,,"nan I am currently looking for an opportunity as a Data Science or Machine Learning Engineer. ['Business analyst', 'Data modeling', 'Business intelligence', 'ERP implementation', 'html', 'Requirement Gathering', 'Power Bi', 'Project Management'] ['SP University', 'SP University'] ['BBA', 'MBA'] ['2018', '2020'] [None, None] [None, None] ['Management', 'Information Technology'] ['JVV IT Solutions'] [None] ['Feb 2020'] ['till date'] [[]] ['Business Analyst'] [None] nan nan nan nan nan nan nan nan nan nan nan"
57,,Recently graduated fresher experienced in Machine Learning and Natural Language Processing looking for roles that involve projects in the same.,"['Python Programming', 'Machine Learning', 'Natural language Processing', 'Numpy', 'NLTK', 'Text Analysis', 'Transformers', 'Series Analysis', 'Conversational AI']",['KCCE University'],['B.Tech'],['2019'],['N/A'],['N/A'],['Computers'],['eLevaTe LtD.'],[None],['Apr 2019'],['till date'],"[['Machine Learning', 'Natural Language Processing']]",['Machine Learning Developer'],['N/A'],"['Machine Learning', 'Big Data Analytics']","['Py-Thonist', None]","[None, None]","[None, None]",,,,,,,,"nan Recently graduated fresher experienced in Machine Learning and Natural Language Processing looking for roles that involve projects in the same. ['Python Programming', 'Machine Learning', 'Natural language Processing', 'Numpy', 'NLTK', 'Text Analysis', 'Transformers', 'Series Analysis', 'Conversational AI'] ['KCCE University'] ['B.Tech'] ['2019'] ['N/A'] ['N/A'] ['Computers'] ['eLevaTe LtD.'] [None] ['Apr 2019'] ['till date'] [['Machine Learning', 'Natural Language Processing']] ['Machine Learning Developer'] ['N/A'] ['Machine Learning', 'Big Data Analytics'] ['Py-Thonist', None] [None, None] [None, None] nan nan nan nan nan nan nan"
58,,,"['Data Analyst', 'Database Management', 'Data Integration', 'Machine Learning', 'Natural Language Processing', 'Artificial Intelligence', 'Deep Learning', 'Python', 'SQL', 'Data Science', 'Tableau', 'PowerBi', 'Business Analysis', 'AWS Lambda', 'Spark', 'PySpark', 'Azure', 'SQL Server']","['Madras University', 'SRM University (SRMU)']","['B.Com', 'MBA']","['2017', '2019']","['N/A', 'N/A']","['N/A', 'N/A']","['Commerce', 'N/A']",['Geakminds Inc'],['N/A'],['Jan 2018'],['Ongoing'],"[['Data Science', 'Machine Learning', 'Statistical Analysis', 'Azure', 'Python', 'SQL']]",['Associate Data Science Engineer'],['N/A'],['Certification'],['Udacity'],['N/A'],['Data Analyst Nano Degree'],,,,,,,,"nan nan ['Data Analyst', 'Database Management', 'Data Integration', 'Machine Learning', 'Natural Language Processing', 'Artificial Intelligence', 'Deep Learning', 'Python', 'SQL', 'Data Science', 'Tableau', 'PowerBi', 'Business Analysis', 'AWS Lambda', 'Spark', 'PySpark', 'Azure', 'SQL Server'] ['Madras University', 'SRM University (SRMU)'] ['B.Com', 'MBA'] ['2017', '2019'] ['N/A', 'N/A'] ['N/A', 'N/A'] ['Commerce', 'N/A'] ['Geakminds Inc'] ['N/A'] ['Jan 2018'] ['Ongoing'] [['Data Science', 'Machine Learning', 'Statistical Analysis', 'Azure', 'Python', 'SQL']] ['Associate Data Science Engineer'] ['N/A'] ['Certification'] ['Udacity'] ['N/A'] ['Data Analyst Nano Degree'] nan nan nan nan nan nan nan"
59,,I desire to work for a company that provides career advancement opportunities in a friendly environment. I would like to develop skills that make me proficient in my job and an asset to the company. I have a varied skill set and enjoy learning new techniques.,"['Word', 'SAP Time Approval', 'Excel', 'Travel Arranger', 'Access Database', 'Purchase Reqs in SAP', 'OutLook', 'IOs in SAP', 'Pcard purchases', 'Royalty Agreement Tracking']",['Oklahoma Jr. College'],['Associate of Arts'],['1990'],['3.95'],['GPA'],['Administrative Assistance'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['Jul 1996', 'Nov 1995', 'Oct 1993', 'Jan 1990']","['Jul 2016', 'Jul 1996', 'Nov 1995', 'Oct 1992']","[['Proprietary Software License Administrator', 'SAP Labor', 'SAP IO creation', 'Purchase requisitions', 'Travel scheduling'], None, None, None]","['ENGINEERING COORDINATOR', 'FACILITIES TEMP', 'FACILITIES ADMINISTRATOR', 'BULK TELLER']","['City, State', 'City, State', 'City, State', 'City, State']",,,,,,,,,,,,"nan I desire to work for a company that provides career advancement opportunities in a friendly environment. I would like to develop skills that make me proficient in my job and an asset to the company. I have a varied skill set and enjoy learning new techniques. ['Word', 'SAP Time Approval', 'Excel', 'Travel Arranger', 'Access Database', 'Purchase Reqs in SAP', 'OutLook', 'IOs in SAP', 'Pcard purchases', 'Royalty Agreement Tracking'] ['Oklahoma Jr. College'] ['Associate of Arts'] ['1990'] ['3.95'] ['GPA'] ['Administrative Assistance'] ['Company Name', 'Company Name', 'Company Name', 'Company Name'] [None, None, None, None] ['Jul 1996', 'Nov 1995', 'Oct 1993', 'Jan 1990'] ['Jul 2016', 'Jul 1996', 'Nov 1995', 'Oct 1992'] [['Proprietary Software License Administrator', 'SAP Labor', 'SAP IO creation', 'Purchase requisitions', 'Travel scheduling'], None, None, None] ['ENGINEERING COORDINATOR', 'FACILITIES TEMP', 'FACILITIES ADMINISTRATOR', 'BULK TELLER'] ['City, State', 'City, State', 'City, State', 'City, State'] nan nan nan nan nan nan nan nan nan nan nan"
60,,"I am an experienced analytics specialist seeking a full-time position in the field of data science and application in business problem solving, where I can apply my knowledge and skills for continuous improvement.","['Data Science', 'Customer analytics', 'Data Visualization', 'Natural language Processing', 'SQL', 'Python', 'R', 'Tableau', 'Alteryx', 'Process Improvement']",['Maulana Malviya College for Informatics'],['B.Tech'],['2020'],['N/A'],['N/A'],['ECE'],['Orchidia Tours and Travels'],['N/A'],['Apr 2020'],['Oct 2020'],"[['Natural language Processing', 'Customer analytics']]",['Data Managerial Intern'],['N/A'],['Certification'],['IBM'],['N/A'],['Analytics Certification'],,,,,,,,"nan I am an experienced analytics specialist seeking a full-time position in the field of data science and application in business problem solving, where I can apply my knowledge and skills for continuous improvement. ['Data Science', 'Customer analytics', 'Data Visualization', 'Natural language Processing', 'SQL', 'Python', 'R', 'Tableau', 'Alteryx', 'Process Improvement'] ['Maulana Malviya College for Informatics'] ['B.Tech'] ['2020'] ['N/A'] ['N/A'] ['ECE'] ['Orchidia Tours and Travels'] ['N/A'] ['Apr 2020'] ['Oct 2020'] [['Natural language Processing', 'Customer analytics']] ['Data Managerial Intern'] ['N/A'] ['Certification'] ['IBM'] ['N/A'] ['Analytics Certification'] nan nan nan nan nan nan nan"
61,,,"['assembly', 'AutoCAD', 'automation', 'budgets', 'budget', 'CNC', 'electronics', 'layout', 'machine tools', 'machinery', 'market', 'materials', 'mathematics', 'mechanical', 'networks', 'packaging', 'PLC', 'policies', 'presentations', 'programming', 'Project management', 'quality', 'recording', 'sales', 'spreadsheet', 'team work']","['Penn State', 'Faith Christian Academy']","[None, 'General Diploma']","['2001', '1991']","[None, None]","[None, None]","['AutoCad', None]","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['January 2001', 'January 1997', 'January 1993']","['January 2015', 'January 2001', 'January 1997']","[['AutoCAD', 'project management', 'mechanical design', 'team building'], ['project management', 'automation', 'production', 'quality'], ['mechanical', 'precision machining', 'G-Code programming', 'production control']]","['Engineering Manager/Senior Mechanical Designer', 'Plant Manager/Project Manager', 'Precision Machinist']","['City, State', 'City, State', 'City, State']",,,,,,,,,,,,"nan nan ['assembly', 'AutoCAD', 'automation', 'budgets', 'budget', 'CNC', 'electronics', 'layout', 'machine tools', 'machinery', 'market', 'materials', 'mathematics', 'mechanical', 'networks', 'packaging', 'PLC', 'policies', 'presentations', 'programming', 'Project management', 'quality', 'recording', 'sales', 'spreadsheet', 'team work'] ['Penn State', 'Faith Christian Academy'] [None, 'General Diploma'] ['2001', '1991'] [None, None] [None, None] ['AutoCad', None] ['Company Name', 'Company Name', 'Company Name'] [None, None, None] ['January 2001', 'January 1997', 'January 1993'] ['January 2015', 'January 2001', 'January 1997'] [['AutoCAD', 'project management', 'mechanical design', 'team building'], ['project management', 'automation', 'production', 'quality'], ['mechanical', 'precision machining', 'G-Code programming', 'production control']] ['Engineering Manager/Senior Mechanical Designer', 'Plant Manager/Project Manager', 'Precision Machinist'] ['City, State', 'City, State', 'City, State'] nan nan nan nan nan nan nan nan nan nan nan"
62,,Collaborative computer science graduate. Eager to secure an internship using my experience with natural language processing and building web apps for non-technical users to further the mission of Coursera in democratizing education across the world.,"['JavaScript (Angular)', 'HTML/ CSS', 'Python (Django)', 'SQL (PostgreSQL, Oracle)', 'REST APIs (GraphQL)', 'Git']",['University of Texas'],['B.S.'],['2021'],['3.4'],['GPA'],['Computer Science'],"['University of Texas Help Desk', 'UT Computer Science Institute']","['N/A', 'N/A']","['January 2018', 'April 2015']","['May 2021', 'January 2018']","[['ticketing system management', 'network troubleshooting'], ['programming solutions research', 'interactive web app development', 'Python', 'Natural Language Toolkit']]","['Technician', 'Research Assistant']","['Austin, TX', 'Austin, TX']",,,,,,,,,,,,"nan Collaborative computer science graduate. Eager to secure an internship using my experience with natural language processing and building web apps for non-technical users to further the mission of Coursera in democratizing education across the world. ['JavaScript (Angular)', 'HTML/ CSS', 'Python (Django)', 'SQL (PostgreSQL, Oracle)', 'REST APIs (GraphQL)', 'Git'] ['University of Texas'] ['B.S.'] ['2021'] ['3.4'] ['GPA'] ['Computer Science'] ['University of Texas Help Desk', 'UT Computer Science Institute'] ['N/A', 'N/A'] ['January 2018', 'April 2015'] ['May 2021', 'January 2018'] [['ticketing system management', 'network troubleshooting'], ['programming solutions research', 'interactive web app development', 'Python', 'Natural Language Toolkit']] ['Technician', 'Research Assistant'] ['Austin, TX', 'Austin, TX'] nan nan nan nan nan nan nan nan nan nan nan"
63,,,"['Microsoft Office (Word, Excel, Power Point, Outlook)', 'Abila MIP Fund Accounting Software', 'QuickBooks, QuickBooks Pro, Quicken', 'ADP, Paychex, Payroll Experts, QuickBooks Payroll Systems']",['Arizona State University'],['Bachelor of Science'],['N/A'],['N/A'],['N/A'],['Business Management'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['08/2012', '08/2008', '02/2007', '05/2002']","['Current', '08/2012', '06/2010', '02/2007']","[['Financial statement analysis', 'Account reconciliation', 'General ledger accounting', 'Time management', 'Organizational skills', 'Process Receivables', 'Process Retail Sales Revenue', 'Monthly financial statements and budget analysis', 'Monthly bank reconciliations', 'Prepare monthly Use Tax returns', 'General Ledger review', 'Streamline Procedures', 'Accounts Payable'], ['QuickBooks, QuickBooks Pro, Quicken', ""Worker's Compensation Audits"", 'Payroll functions', 'Sales Tax Reporting', 'Financial Statement Preparation', 'Bank Statement Reconciliations'], ['Accounts Receivable', 'Monthly billing', 'Accounts Payable verification', 'Payroll processing', 'Employee benefits management', 'COBRA documentation', 'Accounting duties'], ['Accounting Department management', 'Financial statement production', 'Payroll processing', 'Payroll tax reporting', 'Software implementation', 'Employee benefits program', 'Recruitment', 'Personnel management']]","['Staff Accountant', 'Independent Accounting Consultant', 'Accounting Manager/Human Resources', 'Accounting and Human Resources Manager']","['City , State', 'City , State', 'City , State', 'City , State']",,,,,,,,,,,,"nan nan ['Microsoft Office (Word, Excel, Power Point, Outlook)', 'Abila MIP Fund Accounting Software', 'QuickBooks, QuickBooks Pro, Quicken', 'ADP, Paychex, Payroll Experts, QuickBooks Payroll Systems'] ['Arizona State University'] ['Bachelor of Science'] ['N/A'] ['N/A'] ['N/A'] ['Business Management'] ['Company Name', 'Company Name', 'Company Name', 'Company Name'] [None, None, None, None] ['08/2012', '08/2008', '02/2007', '05/2002'] ['Current', '08/2012', '06/2010', '02/2007'] [['Financial statement analysis', 'Account reconciliation', 'General ledger accounting', 'Time management', 'Organizational skills', 'Process Receivables', 'Process Retail Sales Revenue', 'Monthly financial statements and budget analysis', 'Monthly bank reconciliations', 'Prepare monthly Use Tax returns', 'General Ledger review', 'Streamline Procedures', 'Accounts Payable'], ['QuickBooks, QuickBooks Pro, Quicken', ""Worker's Compensation Audits"", 'Payroll functions', 'Sales Tax Reporting', 'Financial Statement Preparation', 'Bank Statement Reconciliations'], ['Accounts Receivable', 'Monthly billing', 'Accounts Payable verification', 'Payroll processing', 'Employee benefits management', 'COBRA documentation', 'Accounting duties'], ['Accounting Department management', 'Financial statement production', 'Payroll processing', 'Payroll tax reporting', 'Software implementation', 'Employee benefits program', 'Recruitment', 'Personnel management']] ['Staff Accountant', 'Independent Accounting Consultant', 'Accounting Manager/Human Resources', 'Accounting and Human Resources Manager'] ['City , State', 'City , State', 'City , State', 'City , State'] nan nan nan nan nan nan nan nan nan nan nan"
64,,"I am looking for an opportunity to work as a Data Scientist. Possessing right and accurate skills at collecting, analyzing, interpreting large datasets and performing data management tasks. Under the guidance of company's professionals I can contribute to company's success using my extensive analytical skills.","['Business Analytics', 'Data Analysis', 'Machine Learning', 'SQL', 'Firebase', 'AWS', 'GCP', 'Cloud Infrastructure', 'Python', 'Text Mining', 'Database Management and Processing', 'Time Series Analysis', 'Research Analysis']",['Lucknow University'],['B.Sc'],['2019'],['N/A'],['N/A'],['Statistics'],['E Express'],['N/A'],['Aug 2020'],['Till Date'],[['big data analytics']],['Associate Data Scientist'],['N/A'],,,,,,,,,,,,"nan I am looking for an opportunity to work as a Data Scientist. Possessing right and accurate skills at collecting, analyzing, interpreting large datasets and performing data management tasks. Under the guidance of company's professionals I can contribute to company's success using my extensive analytical skills. ['Business Analytics', 'Data Analysis', 'Machine Learning', 'SQL', 'Firebase', 'AWS', 'GCP', 'Cloud Infrastructure', 'Python', 'Text Mining', 'Database Management and Processing', 'Time Series Analysis', 'Research Analysis'] ['Lucknow University'] ['B.Sc'] ['2019'] ['N/A'] ['N/A'] ['Statistics'] ['E Express'] ['N/A'] ['Aug 2020'] ['Till Date'] [['big data analytics']] ['Associate Data Scientist'] ['N/A'] nan nan nan nan nan nan nan nan nan nan nan"
65,,"looking for an opportunity as an engineer or related position which offers key participation, team-oriented tasks, immediate challenges and career opportunities in a reputed organization which will help me deliver my best and upgrade my skills in engineering and meet the demands of the organization. To utilize my technical skills for achieving the target and developing the best performance in the organization. I would like to implement my innovative ideas, skills and creativity for accomplishing projects.","['Know-your-consumer (KYC)', 'Statistical process control', 'Cost reduction and avoidance', 'Systems Engineering', 'Systems Engineering management', 'Software systems engineering', 'Quality control', 'Failure analysis', 'Tools of operations research', 'MS Office', 'Auto CAD', 'inspection', 'Lean manufacturing', 'process control', 'process design', 'simulation', 'system configuration']","['Oklahoma Christian University', 'Sastra University, Tanjore Tamil Nadu']","['Master of Science', 'Bachelor of Technology']","['current', '2016']","['3.6', '6.97']","['GPA', 'GPA']","['Engineering Management', 'Chemical Engineering']","['Company Name', 'Company Name']","[None, None]","['06/2014', 'N/A']","['06/2014', 'N/A']","[['Lean techniques', 'Kaizen Events'], ['extraction', 'Nutraceuticals', 'sub-critical Carbon-di-oxide']]","['Engineering Intern', 'N/A']","['N/A', 'N/A']",,,,,,,,,,,,"nan looking for an opportunity as an engineer or related position which offers key participation, team-oriented tasks, immediate challenges and career opportunities in a reputed organization which will help me deliver my best and upgrade my skills in engineering and meet the demands of the organization. To utilize my technical skills for achieving the target and developing the best performance in the organization. I would like to implement my innovative ideas, skills and creativity for accomplishing projects. ['Know-your-consumer (KYC)', 'Statistical process control', 'Cost reduction and avoidance', 'Systems Engineering', 'Systems Engineering management', 'Software systems engineering', 'Quality control', 'Failure analysis', 'Tools of operations research', 'MS Office', 'Auto CAD', 'inspection', 'Lean manufacturing', 'process control', 'process design', 'simulation', 'system configuration'] ['Oklahoma Christian University', 'Sastra University, Tanjore Tamil Nadu'] ['Master of Science', 'Bachelor of Technology'] ['current', '2016'] ['3.6', '6.97'] ['GPA', 'GPA'] ['Engineering Management', 'Chemical Engineering'] ['Company Name', 'Company Name'] [None, None] ['06/2014', 'N/A'] ['06/2014', 'N/A'] [['Lean techniques', 'Kaizen Events'], ['extraction', 'Nutraceuticals', 'sub-critical Carbon-di-oxide']] ['Engineering Intern', 'N/A'] ['N/A', 'N/A'] nan nan nan nan nan nan nan nan nan nan nan"
