,combined
16,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System) Bachelor/Honors 4 to 5 years nan Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution Cisco
Linux
Operation & Maintenance of Server"
18,"Project Coordinator (Civil) •Bachelor of Business Administration (BBA) in Human Resource Management 5 to 10 years Age 30 to 40 years Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering"
19,"Executive/ Sr. Executive -IT Bachelor of Science (BSc) in Computer Science & Engineering 3 to 5 years Age at most 40 years Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support nan"
21,"Network Support Engineer Diploma, Bachelor/Honors At least 3 years Age 25 to 35 years Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU"
23,"Intern (Generative AI Engineering - 2D/3D Image Generation) Bachelor of Science (BSc) nan Age 20 to 35 years Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration nan"
24,"Executive - VAT BBA in Accounting and Finance 1 to 3 years nan Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks VAT and Tax"
26,"Sr.Officer / Executive - Internal Audit Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm 2 to 4 years nan Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification Having CACC from reputed CA Firm
Internal Audit and Compliance"
27,"Management Trainee - Mechanical Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field. nan Age at least 22 years Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working"
30,"HR Officer •Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university. nan Age 18 to 30 years Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution Human Resource Management"
31,"DevOps Engineer Bachelor/Honors At least 3 years nan Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform"
38,"Data Engineer Bachelor of Science (BSc) 5 to 8 years nan Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL"
42,"Head of Internal Control & Compliance (ICC) - SEVP/DMD Masters, Master of Business Administration (MBA), Master of Business Management (MBM) At least 15 years Age at most 52 years 15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws AUDIT AND INSPECTION
Banking
Internal Audit"
43,"Full Stack Developer (Python,React js) Bachelor/Honors 3 to 7 years nan Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting nan"
47,"Civil Engineer B.Sc in Civil Engineering from a reputed university. At least 5 years Age at least 30 years Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits AutoCAD
ETABS
Microsoft Office Suite
MS Project"
49,"Data Science Engineer Bachelor of Science (BSc) in Computer Science & Engineering At least 2 years Age 25 to 32 years Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development"
116,"Manager- Human Resource Management (HRM)
 Masters degree in any discipline, Bachelor of Business Administration (BBA) 5 to 6 years Age 25 to 40 years Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution HRM Report
Human Resource Management
NGO"
128,"Marketing Officer Bachelor/Honors At least 1 year nan Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)"
135,"Site Engineer Bachelor of Science (BSc) in Civil Engineering 1 to 2 years Age 25 to 30 years Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




 AutoCAD
Communication and negotiation skills
Internet
MS Office"
